department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
7.0,7,2.0,0.0,2.0,0.0,0.375,5.0,0.19444444444444442,1,0,49,0
4.0,22,0.0,1.0,0.0,0.0,0.25,5.0,0.08333333333333333,0,0,60,0
7.0,19,0.0,1.0,2.0,0.0,0.3500000000000001,3.0,0.16666666666666663,0,0,50,0
7.0,23,0.0,1.0,0.0,0.1111111111111111,0.4750000000000001,1.0,0.25,0,0,50,0
8.0,26,0.0,1.0,0.0,0.0,0.625,3.0,0.027777777777777776,0,0,73,0
0.0,2,0.0,1.0,2.0,0.1111111111111111,0.275,3.0,0.16666666666666663,0,0,85,0
4.0,20,0.0,0.0,0.0,0.0,0.275,3.0,0.11111111111111112,0,0,59,0
4.0,34,2.0,1.0,2.0,0.0,0.32500000000000007,3.0,0.1388888888888889,0,0,63,0
0.0,20,0.0,1.0,0.0,0.0,0.20000000000000007,4.0,0.11111111111111112,0,0,83,0
7.0,1,2.0,1.0,2.0,0.0,0.30000000000000004,5.0,0.11111111111111112,1,0,54,0
7.0,7,0.0,0.0,2.0,0.0,0.375,5.0,0.05555555555555555,1,0,50,1
7.0,4,0.0,1.0,2.0,0.0,0.7250000000000001,5.0,0.11111111111111112,1,0,49,0
8.0,29,2.0,1.0,0.0,0.1111111111111111,0.4750000000000001,3.0,0.41666666666666663,0,0,80,0
6.0,2,2.0,1.0,2.0,0.0,0.42500000000000004,3.0,0.16666666666666663,0,0,84,0
4.0,7,0.0,1.0,0.0,0.0,0.42500000000000004,1.0,0.25,0,0,60,0
8.0,2,0.0,1.0,0.0,0.0,0.45000000000000007,3.0,0.11111111111111112,1,0,77,0
7.0,31,0.0,1.0,0.0,0.0,0.3500000000000001,1.0,0.08333333333333333,0,0,51,0
7.0,31,0.0,1.0,0.0,0.0,0.3500000000000001,5.0,0.19444444444444442,1,0,46,0
4.0,15,0.0,1.0,0.0,0.0,0.42500000000000004,3.0,0.2222222222222222,0,0,59,0
