neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
North Region,Woodlands,1.44246,103.79667,1.0,69,1.9459101490553132,3.044522437723423,0.18232155679395462,1.0
East Region,Tampines,1.34541,103.95712,1.0,206,0.6931471805599453,2.70805020110221,0.13976194237515868,0.9671232876712329
East Region,Tampines,1.34567,103.95963,1.0,94,0.6931471805599453,3.1354942159291497,0.1988508587451652,0.9726027397260274
East Region,Tampines,1.34702,103.96103,1.0,104,0.6931471805599453,3.6888794541139363,0.32208349916911333,0.947945205479452
East Region,Tampines,1.34348,103.96337,1.0,208,0.6931471805599453,3.258096538021482,0.22314355131420976,0.4712328767123288
Central Region,Bukit Merah,1.28875,103.80814,1.0,44,2.772588722239781,2.9444389791664403,0.20701416938432615,0.9068493150684932
Central Region,Bukit Merah,1.28837,103.81099,1.0,40,3.4339872044851463,2.3978952727983707,0.10436001532424277,0.7561643835616438
Central Region,Bukit Merah,1.28976,103.80896,1.0,44,3.4339872044851463,2.639057329615259,0.13976194237515868,0.9315068493150686
Central Region,Bukit Merah,1.28677,103.81244,1.0,40,3.4339872044851463,2.3978952727983707,0.1310282624064041,0.9068493150684932
East Region,Tampines,1.34943,103.95951,1.0,49,1.0986122886681096,3.828641396489095,0.4054651081081644,0.9780821917808219
East Region,Tampines,1.34838,103.9592,1.0,104,0.6931471805599453,2.833213344056216,0.173953307123438,0.821917808219178
West Region,Jurong West,1.34135,103.71139,1.0,53,1.0986122886681096,3.1780538303479458,0.23901690047049992,0.9452054794520548
Central Region,Bukit Timah,1.33171,103.79383,2.0,276,1.6094379124341003,2.4849066497880004,0.12221763272424921,0.9917808219178083
Central Region,Queenstown,1.30901,103.79639,0.0,208,0.6931471805599453,0.0,0.0,0.0
North-East Region,Serangoon,1.35001,103.87161,1.0,44,0.6931471805599453,3.6109179126442243,0.36464311358790924,0.0
East Region,Pasir Ris,1.37527,103.94562,1.0,206,0.6931471805599453,0.0,0.0,0.0
North-East Region,Punggol,1.39963,103.9064,1.0,167,0.6931471805599453,0.0,0.0,1.0
Central Region,Queenstown,1.28342,103.78585,1.0,128,1.3862943611198906,0.0,0.0,1.0
Central Region,Bukit Merah,1.28909,103.80749,1.0,40,3.4339872044851463,2.639057329615259,0.15700374880966475,0.9068493150684932
Central Region,Marine Parade,1.30529,103.9042,2.0,300,1.0986122886681096,3.6375861597263857,0.3784364357202451,0.6054794520547945
Central Region,Tanglin,1.29839,103.82808,2.0,200,4.110873864173311,2.302585092994046,0.10436001532424277,0.915068493150685
East Region,Bedok,1.31313,103.91479,1.0,278,0.6931471805599453,0.0,0.0,1.0
Central Region,Bukit Merah,1.27681,103.82381,1.0,150,0.6931471805599453,1.0986122886681096,0.04879016416943201,0.5698630136986301
North-East Region,Hougang,1.37037,103.90052,1.0,42,3.4339872044851463,3.044522437723423,0.22314355131420976,0.989041095890411
North-East Region,Hougang,1.36775,103.89855,1.0,40,3.4339872044851463,2.3978952727983707,0.11332868530700317,0.7342465753424657
Central Region,Novena,1.31314,103.84081,2.0,243,1.791759469228055,2.70805020110221,0.173953307123438,0.3917808219178082
Central Region,Geylang,1.31525,103.88176,1.0,35,2.9444389791664403,1.9459101490553132,0.13976194237515868,0.9835616438356164
North-East Region,Serangoon,1.36885,103.8731,1.0,65,0.6931471805599453,3.258096538021482,0.3435897043900769,0.9287671232876712
Central Region,Downtown Core,1.27529,103.84494,2.0,219,4.110873864173311,1.9459101490553132,0.07696104113612832,0.9589041095890412
Central Region,Outram,1.28491,103.84209,1.0,60,3.367295829986474,1.9459101490553132,0.14842000511827327,0.9123287671232877
North-East Region,Punggol,1.39877,103.90248,1.0,76,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.0
North-East Region,Hougang,1.37369,103.87847,1.0,35,3.4965075614664802,1.9459101490553132,0.11332868530700317,0.9287671232876712
West Region,Bukit Panjang,1.38123,103.76874,1.0,49,1.3862943611198906,2.772588722239781,0.18232155679395462,0.3589041095890411
North-East Region,Hougang,1.36764,103.90228,1.0,31,3.4339872044851463,4.110873864173311,0.5766133643039938,0.6164383561643836
East Region,Bedok,1.33729,103.9298,1.0,72,1.0986122886681096,0.6931471805599453,0.0295588022415444,0.9863013698630138
Central Region,Kallang,1.31135,103.85946,1.0,49,2.9444389791664403,1.0986122886681096,0.04879016416943201,0.9863013698630138
Central Region,Marine Parade,1.29891,103.88681,2.0,190,2.302585092994046,3.4011973816621555,0.3293037471426004,0.7589041095890411
Central Region,Tanglin,1.31693,103.82636,2.0,319,2.0794415416798357,3.7612001156935624,0.4762341789963716,0.904109589041096
Central Region,Tanglin,1.31503,103.82614,2.0,149,2.0794415416798357,3.4011973816621555,0.35065687161316933,0.0
Central Region,Tanglin,1.31507,103.82704,2.0,240,2.0794415416798357,3.4011973816621555,0.3435897043900769,0.9315068493150686
Central Region,Marine Parade,1.31,103.90321,1.0,137,1.9459101490553132,2.3978952727983707,0.1310282624064041,0.0
Central Region,Kallang,1.31213,103.8561,1.0,56,2.9444389791664403,0.6931471805599453,0.0295588022415444,0.9095890410958904
Central Region,Queenstown,1.29201,103.76936,1.0,60,1.791759469228055,2.0794415416798357,0.09531017980432487,0.0
Central Region,Queenstown,1.29213,103.76913,0.0,50,1.791759469228055,2.4849066497880004,0.23901690047049992,0.9397260273972603
Central Region,Tanglin,1.30768,103.82017,1.0,104,1.791759469228055,3.9512437185814275,0.5822156198526637,0.20273972602739726
Central Region,Kallang,1.30774,103.86332,1.0,40,2.9444389791664403,2.1972245773362196,0.12221763272424921,0.9835616438356164
Central Region,Kallang,1.30844,103.85875,1.0,76,1.791759469228055,3.1354942159291497,0.3987761199573678,0.18356164383561643
Central Region,Kallang,1.31118,103.87367,2.0,131,2.70805020110221,0.0,0.0,1.0
Central Region,Orchard,1.30341,103.83365,2.0,300,1.0986122886681096,2.302585092994046,0.173953307123438,0.9561643835616438
Central Region,Marine Parade,1.30415,103.90192,1.0,165,1.0986122886681096,3.332204510175204,0.3293037471426004,0.6109589041095891
North-East Region,Ang Mo Kio,1.39088,103.85303,1.0,217,0.6931471805599453,0.0,0.0,1.0
West Region,Bukit Batok,1.34126,103.75992,1.0,82,2.70805020110221,0.0,0.0,1.0
